2024-12-10 14:01:57 - INFO - SHIP_ID=T1 | OP_INDEX=1 | SECTION=0 | START_TIME= | LOG_ENTRY=데이터 개수가 1여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:01:57 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=1 | SECTION=0 | START_TIME=2023-02-20 00:32:50 | LOG_ENTRY=데이터 개수가 6여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:01:58 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=2 | SECTION=0 | START_TIME=2023-02-19 23:39:20 | LOG_ENTRY=데이터 개수가 121여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:01:58 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=3 | SECTION=0 | START_TIME=2023-02-20 00:15:17 | LOG_ENTRY=get_dataframe_from_database() missing 1 required positional argument: 'table_name' | TYPE=MAIN | is_processed=False
2024-12-10 14:01:58 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=4 | SECTION=0 | START_TIME=2023-02-19 23:51:45 | LOG_ENTRY=get_dataframe_from_database() missing 1 required positional argument: 'table_name' | TYPE=MAIN | is_processed=False
2024-12-10 14:01:59 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=5 | SECTION=0 | START_TIME=2023-02-19 23:40:48 | LOG_ENTRY=데이터 개수가 11여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:01:59 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=6 | SECTION=0 | START_TIME=2023-02-19 23:53:27 | LOG_ENTRY=데이터 개수가 10여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:01:59 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=7 | SECTION=0 | START_TIME=2023-02-19 23:44:36 | LOG_ENTRY=데이터 개수가 20여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:01:59 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=8 | SECTION=0 | START_TIME=2023-02-19 23:42:38 | LOG_ENTRY=데이터 개수가 152여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:00 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=9 | SECTION=0 | START_TIME=2023-02-20 00:05:17 | LOG_ENTRY=데이터 개수가 3여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:00 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=10 | SECTION=0 | START_TIME=2023-02-20 00:10:16 | LOG_ENTRY=데이터 개수가 2여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:00 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=11 | SECTION=0 | START_TIME=2023-02-20 00:20:26 | LOG_ENTRY=데이터 개수가 9여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:01 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=12 | SECTION=0 | START_TIME=2023-02-19 23:39:37 | LOG_ENTRY=데이터 개수가 10여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:01 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=13 | SECTION=0 | START_TIME=2023-02-19 23:39:25 | LOG_ENTRY=데이터 개수가 10여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:01 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=14 | SECTION=0 | START_TIME=2023-02-19 23:39:40 | LOG_ENTRY=데이터 개수가 10여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:01 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=15 | SECTION=0 | START_TIME=2023-02-19 23:51:30 | LOG_ENTRY=데이터 개수가 123여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:02 - INFO - SHIP_ID=T121129-17201 | OP_INDEX=16 | SECTION=0 | START_TIME=2023-02-19 23:47:46 | LOG_ENTRY=get_dataframe_from_database() missing 1 required positional argument: 'table_name' | TYPE=MAIN | is_processed=False
