2024-12-16 15:38:13 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=5 | SECTION=0 | START_TIME=2023-07-09 08:08:59 | LOG_ENTRY=The data length is 1 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:13 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=6 | SECTION=0 | START_TIME=2023-07-09 08:11:18 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:14 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=7 | SECTION=0 | START_TIME=2023-07-09 08:32:12 | LOG_ENTRY=The data length is 18 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:14 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=10 | SECTION=0 | START_TIME=2023-07-19 07:31:42 | LOG_ENTRY=The data length is 19 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:14 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=15 | SECTION=0 | START_TIME=2023-07-19 08:18:33 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:15 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=16 | SECTION=0 | START_TIME=2023-07-19 09:29:43 | LOG_ENTRY=The data length is 17 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:15 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=17 | SECTION=0 | START_TIME=2023-07-19 12:31:03 | LOG_ENTRY=The data length is 31 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:15 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=18 | SECTION=0 | START_TIME=2023-07-19 13:06:34 | LOG_ENTRY=The data length is 19 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:16 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=19 | SECTION=0 | START_TIME=2023-07-19 13:29:56 | LOG_ENTRY=The data length is 16 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:16 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=20 | SECTION=0 | START_TIME=2023-07-19 14:12:05 | LOG_ENTRY=The data length is 16 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:17 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=21 | SECTION=0 | START_TIME=2023-07-19 14:39:47 | LOG_ENTRY=The data length is 18 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:17 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=22 | SECTION=0 | START_TIME=2023-07-19 14:58:31 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:17 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=24 | SECTION=0 | START_TIME=2023-07-19 15:29:19 | LOG_ENTRY=The data length is 13 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:18 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=27 | SECTION=0 | START_TIME=2023-07-23 07:51:15 | LOG_ENTRY=The op_type is deballast | TYPE=preprocessing | IS_PROCESSED=False
2024-12-16 15:38:18 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=28 | SECTION=0 | START_TIME=2023-07-23 10:53:02 | LOG_ENTRY=The data length is 20 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:18 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=29 | SECTION=0 | START_TIME=2023-08-28 13:31:04 | LOG_ENTRY=The data length is 3 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2024-12-16 15:38:19 - INFO - SHIP_ID=T121129-05501 | OP_INDEX=30 | SECTION=0 | START_TIME=2023-08-28 13:37:23 | LOG_ENTRY=The data length is 19 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
