2025-01-20 15:13:27 - INFO - SHIP_ID=T20231107001 | OP_INDEX=324 | SECTION=0 | START_TIME=2024-06-21 08:54:57 | LOG_ENTRY=The op_type is deballast | TYPE=preprocessing | IS_PROCESSED=False
2025-01-20 15:13:27 - INFO - SHIP_ID=T20231107001 | OP_INDEX=325 | SECTION=0 | START_TIME=2024-06-21 11:40:00 | LOG_ENTRY=The op_type is deballast | TYPE=preprocessing | IS_PROCESSED=False
2025-01-20 15:13:28 - INFO - SHIP_ID=T20231107001 | OP_INDEX=326 | SECTION=0 | START_TIME=2024-06-28 05:22:44 | LOG_ENTRY=The data length is 35 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:30 - INFO - SHIP_ID=T20231107001 | OP_INDEX=327 | SECTION=0 | START_TIME=2024-06-29 09:39:11 | LOG_ENTRY=The results were derived from the model and statistics package | TYPE=all | IS_PROCESSED=True
2025-01-20 15:13:30 - INFO - SHIP_ID=T20231107001 | OP_INDEX=327 | SECTION=0 | START_TIME=2024-06-29 09:39:11 | LOG_ENTRY=apply_calculating_rate_change() takes 1 positional argument but 2 were given | TYPE=exceptional_handling | IS_PROCESSED=False
2025-01-20 15:13:33 - INFO - SHIP_ID=T20231107001 | OP_INDEX=328 | SECTION=0 | START_TIME=2024-06-29 09:39:11 | LOG_ENTRY=The results were derived from the model and statistics package | TYPE=all | IS_PROCESSED=True
2025-01-20 15:13:33 - INFO - SHIP_ID=T20231107001 | OP_INDEX=328 | SECTION=0 | START_TIME=2024-06-29 09:39:11 | LOG_ENTRY=apply_calculating_rate_change() takes 1 positional argument but 2 were given | TYPE=exceptional_handling | IS_PROCESSED=False
2025-01-20 15:13:33 - INFO - SHIP_ID=T20231107001 | OP_INDEX=329 | SECTION=0 | START_TIME=2024-06-29 14:27:28 | LOG_ENTRY=The data length is 1 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:33 - INFO - SHIP_ID=T20231107001 | OP_INDEX=330 | SECTION=0 | START_TIME=2024-06-29 14:27:28 | LOG_ENTRY=The data length is 1 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:34 - INFO - SHIP_ID=T20231107001 | OP_INDEX=331 | SECTION=0 | START_TIME=2024-06-29 14:29:38 | LOG_ENTRY=The results were derived from the model and statistics package | TYPE=all | IS_PROCESSED=True
2025-01-20 15:13:34 - INFO - SHIP_ID=T20231107001 | OP_INDEX=331 | SECTION=0 | START_TIME=2024-06-29 14:29:38 | LOG_ENTRY=apply_calculating_rate_change() takes 1 positional argument but 2 were given | TYPE=exceptional_handling | IS_PROCESSED=False
2025-01-20 15:13:35 - INFO - SHIP_ID=T20231107001 | OP_INDEX=332 | SECTION=0 | START_TIME=2024-06-29 14:29:38 | LOG_ENTRY=The results were derived from the model and statistics package | TYPE=all | IS_PROCESSED=True
2025-01-20 15:13:35 - INFO - SHIP_ID=T20231107001 | OP_INDEX=332 | SECTION=0 | START_TIME=2024-06-29 14:29:38 | LOG_ENTRY=apply_calculating_rate_change() takes 1 positional argument but 2 were given | TYPE=exceptional_handling | IS_PROCESSED=False
2025-01-20 15:13:35 - INFO - SHIP_ID=T20231107001 | OP_INDEX=333 | SECTION=0 | START_TIME=2024-06-29 17:55:16 | LOG_ENTRY=The data length is 27 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:35 - INFO - SHIP_ID=T20231107001 | OP_INDEX=334 | SECTION=0 | START_TIME=2024-07-07 07:57:39 | LOG_ENTRY=The data length is 22 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:35 - INFO - SHIP_ID=T20231107001 | OP_INDEX=335 | SECTION=0 | START_TIME=2024-07-07 08:21:29 | LOG_ENTRY=The data length is 12 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:36 - INFO - SHIP_ID=T20231107001 | OP_INDEX=336 | SECTION=0 | START_TIME=2024-07-07 08:34:15 | LOG_ENTRY=The data length is 12 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:36 - INFO - SHIP_ID=T20231107001 | OP_INDEX=337 | SECTION=0 | START_TIME=2024-07-07 08:47:56 | LOG_ENTRY=The data length is 17 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:36 - INFO - SHIP_ID=T20231107001 | OP_INDEX=338 | SECTION=0 | START_TIME=2024-07-07 09:05:22 | LOG_ENTRY=The data length is 9 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:36 - INFO - SHIP_ID=T20231107001 | OP_INDEX=339 | SECTION=0 | START_TIME=2024-07-07 09:14:54 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:37 - INFO - SHIP_ID=T20231107001 | OP_INDEX=340 | SECTION=0 | START_TIME=2024-07-07 09:20:43 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:37 - INFO - SHIP_ID=T20231107001 | OP_INDEX=341 | SECTION=0 | START_TIME=2024-07-07 09:27:10 | LOG_ENTRY=The data length is 3 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:37 - INFO - SHIP_ID=T20231107001 | OP_INDEX=342 | SECTION=0 | START_TIME=2024-07-07 09:31:28 | LOG_ENTRY=The data length is 5 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:37 - INFO - SHIP_ID=T20231107001 | OP_INDEX=343 | SECTION=0 | START_TIME=2024-07-07 09:37:34 | LOG_ENTRY=The data length is 6 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:37 - INFO - SHIP_ID=T20231107001 | OP_INDEX=345 | SECTION=0 | START_TIME=2024-07-07 09:50:35 | LOG_ENTRY=The data length is 12 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
2025-01-20 15:13:38 - INFO - SHIP_ID=T20231107001 | OP_INDEX=346 | SECTION=0 | START_TIME=2024-07-07 10:02:53 | LOG_ENTRY=The data length is 11 and does not satisfy the condition | TYPE=data_length_limit | IS_PROCESSED=False
